status,state,city,street,last_checked,longitude,latitude,scraped_datetime
working,TX,Mcallen,3700 Pecan Boulevard,9/22/2022 14:49,-98.259821,26.220043,9/22/2022 17:00
working,TX,Mcallen,1901 S 10th St,9/22/2022 14:49,-98.232393,26.186557,9/22/2022 17:00
broken,TX,Mcallen,2200 S 10th St,9/22/2022 14:49,-98.235639,26.185819,9/22/2022 17:00
working,NM,Santa Rosa,1504 Will Rogers Dr,9/22/2022 14:49,-104.669558,34.944317,9/22/2022 17:00
broken,TX,Laredo,1120 Santa Ursula,9/22/2022 14:49,-99.503839,27.50935,9/22/2022 17:00
inactive,TX,Palmhurst,215 E Mile 3 Rd,6/27/2022 8:00,-98.315727,26.260551,9/22/2022 17:00
working,TX,Laredo,2502 Hwy 83,9/22/2022 14:49,-99.47611,27.47458,9/22/2022 17:00
working,TX,Palmhurst,224 East Mile 3 Road,9/22/2022 14:49,-98.315599,26.257531,9/22/2022 17:00
working,CO,Steamboat Springs,1150 S Lincoln Ave,9/22/2022 14:49,-106.825661,40.46839,9/22/2022 17:00
broken,TX,Laredo,4401 Highway 83 S,9/22/2022 14:49,-99.474178,27.453294,9/22/2022 17:00
working,TX,Laredo,4719 S Us Hwy 83,9/22/2022 14:49,-99.477365,27.446776,9/22/2022 17:00
working,TX,Mission,804 S Shary Rd,9/22/2022 14:49,-98.289113,26.194476,9/22/2022 17:00
working,MT,Hardin,1225 N Crawford,9/22/2022 14:49,-107.611652,45.741991,9/22/2022 17:00
working,TX,Mission,303 E Expy 83,9/22/2022 14:49,-98.324314,26.201453,9/22/2022 17:00
working,CO,Alamosa,100 Craft Dr,9/22/2022 14:49,-105.894045,37.475429,9/22/2022 17:00
working,WY,Rawlins,2225 Plaza Street,9/22/2022 14:49,-107.212236,41.793508,9/22/2022 17:00
working,TX,Penitas,1703 Expressway 83,9/22/2022 14:49,-98.442757,26.246687,9/22/2022 17:00
working,TX,La Joya,401 E Expy 83,9/22/2022 14:49,-98.475368,26.248177,9/22/2022 17:00
inactive,TX,Monahans,1905 S Stockton,7/9/2021 12:13,-102.892234,31.576946,9/22/2022 17:00
inactive,NM,Taos,200 S Santa Fe Rd,7/9/2021 12:12,-105.573863,36.404656,9/22/2022 17:00
inactive,NM,Las Vegas,1501 7th St,7/9/2021 12:14,-105.223515,35.605677,9/22/2022 17:00
inactive,TX,Zapata,116 South Us Hwy 83,7/9/2021 12:18,-99.263797,26.894099,9/22/2022 17:00
inactive,TX,Rio Grande City,4290 E Expy 83,9/22/2022 14:48,-98.798329,26.370392,9/22/2022 17:00
working,WY,Worland,1700 Big Horn Ave,9/22/2022 14:48,-107.945311,44.016507,9/22/2022 17:00
inactive,TX,Roma,104 E Grant Street,9/22/2022 14:48,-99.011368,26.402285,9/22/2022 17:00
working,TX,Fort Stockton,1500 N Us Hwy 285,9/22/2022 14:49,-102.905605,30.899437,9/22/2022 17:00
working,NM,Roswell,4100 N Main,9/22/2022 14:48,-104.523701,33.446761,9/22/2022 17:00
inactive,NM,Roswell,4500 A No Main,7/7/2022 7:48,-104.526802,33.449835,9/22/2022 17:00
working,NM,Roswell,720 N Main,9/22/2022 14:48,-104.52329,33.400426,9/22/2022 17:00
broken,CO,Gunnison,800 E Tomichi,9/22/2022 14:49,-106.917466,38.544872,9/22/2022 17:00
working,NM,Roswell,1804 S Main St,9/22/2022 14:48,-104.523719,33.370233,9/22/2022 17:00
working,CO,Craig,1080 W Victory Way,9/22/2022 14:47,-107.560678,40.513739,9/22/2022 17:00
inactive,WY,Thermopolis,611 Shoshoni St,9/22/2022 14:48,-108.212844,43.638083,9/22/2022 17:00
working,CO,Glenwood Springs,3112 Glen Ave,9/22/2022 14:49,-107.320135,39.519525,9/22/2022 17:00
working,MT,Billings,2711 Frontage Road,9/22/2022 14:48,-108.416438,45.816492,9/22/2022 17:00
working,MT,Billings,525 Wicks Lane,9/22/2022 14:47,-108.471795,45.828848,9/22/2022 17:00
