status,state,city,street,last_checked,longitude,latitude,scraped_datetime
working,MO,El Dorado Springs,410 E Hwy 54,2022-09-23 10:21:03,-94.017274,37.862552,2022-09-23 12:00:03
working,MO,Independence,4226 S Noland,2022-09-23 10:22:03,-94.415592,39.043186,2022-09-23 12:00:03
working,MO,Independence,11700 E Hwy 24,2022-09-23 10:21:03,-94.436517,39.102465,2022-09-23 12:00:03
working,AR,Little Rock,17601 Chenal Pkwy,2022-09-23 10:21:03,-92.456287,34.765584,2022-09-23 12:00:03
working,MS,Wiggins,1220 W Central Ave,2022-09-23 10:21:03,-89.152417,30.851181,2022-09-23 12:00:03
inactive,AR,Little Rock,19301 Cantrell Road,2022-01-08 18:01:03,-92.486107,34.809099,2022-09-23 12:00:03
working,FL,Hialeah,7155 W 4th Ave,2022-09-23 10:21:03,-80.291105,25.887343,2022-09-23 12:00:03
working,FL,Miami,10775 Nw 27th Ave,2022-09-23 10:21:03,-80.242256,25.872286,2022-09-23 12:00:03
working,FL,Miami,9250 Nw 7th Ave,2022-09-23 10:21:03,-80.210077,25.859774,2022-09-23 12:00:03
broken,AR,Morrilton,1805 N Business 9,2022-09-23 10:21:03,-92.719161,35.170477,2022-09-23 12:00:03
working,MO,Lee'S Summit,901 Chipman Rd,2022-09-23 10:21:03,-94.399098,38.925216,2022-09-23 12:00:03
working,FL,Miami,8116 Biscayne Blvd,2022-09-23 10:21:03,-80.185108,25.849872,2022-09-23 12:00:03
working,MO,Lee'S Summit,125 Southwest M150 Highway,2022-09-23 10:21:03,-94.377743,38.852151,2022-09-23 12:00:03
working,MS,Gautier,2701 Hwy 90 W,2022-09-23 10:21:03,-88.653937,30.391638,2022-09-23 12:00:03
working,FL,Hialeah,3355 W 80th St,2022-09-23 10:21:03,-80.350484,25.896887,2022-09-23 12:00:03
working,MO,Independence,11115 E 23rd St,2022-09-23 10:21:03,-94.446573,39.079828,2022-09-23 12:00:03
working,FL,Hialeah,1660 W 68th St,2022-09-23 10:21:03,-80.316938,25.883691,2022-09-23 12:00:03
working,MO,Independence,11801 E 40 Hwy,2022-09-23 10:21:03,-94.441097,39.04582,2022-09-23 12:00:03
working,MO,Raytown,5260 Blue Ridge Blvd,2022-09-23 10:21:03,-94.442625,39.026476,2022-09-23 12:00:03
working,FL,Hialeah,4300 E 4th Ave,2022-09-23 10:21:03,-80.27502,25.861802,2022-09-23 12:00:03
working,MS,Crystal Springs,16170 Hwy 27,2022-09-23 10:21:03,-90.355403,32.012644,2022-09-23 12:00:03
working,FL,Hialeah,5995 W 24th Ave,2022-09-23 10:21:03,-80.330895,25.876749,2022-09-23 12:00:03
working,MO,Claycomo,290 E 69 Hwy,2022-09-23 10:21:03,-94.499097,39.200516,2022-09-23 12:00:03
inactive,FL,Hialeah,1101 W 49th St,2021-07-09 05:41:03,-80.3052,25.866973,2022-09-23 12:00:03
inactive,FL,Miami,8050 Nw 27th Ave,2021-07-07 15:33:03,-80.242229,25.8476,2022-09-23 12:00:03
inactive,FL,Hialeah,1675 W 49th St,2021-07-09 05:43:03,-80.31678,25.868685,2022-09-23 12:00:03
inactive,AR,Little Rock,10501 Stagecoach Rd,2021-07-07 15:28:03,-92.42579,34.655439,2022-09-23 12:00:03
working,FL,Miami,599 Nw 62nd St,2022-09-23 10:19:03,-80.206753,25.83273,2022-09-23 12:00:03
working,FL,Bonita Springs,27996 Oakland Dr,2022-09-23 10:20:03,-81.752986,26.332049,2022-09-23 12:00:03
working,FL,Hialeah,4185 W 16th Ave,2022-09-23 10:19:03,-80.314373,25.859504,2022-09-23 12:00:03
working,FL,Hialeah,330 W 29th St,2022-09-23 10:21:03,-80.288598,25.847729,2022-09-23 12:00:03
working,FL,Hialeah,3350 W 18th Ave,2022-09-23 10:19:03,-80.319695,25.852897,2022-09-23 12:00:03
working,MO,Kansas City,6701 Front St,2022-09-23 10:20:03,-94.503605,39.129649,2022-09-23 12:00:03
working,MO,Harrisonville,2615 Brookhart Drive,2022-09-23 10:19:03,-94.355374,38.636283,2022-09-23 12:00:03
broken,MO,Harrisonville,2101 N Commercial St,2022-09-23 10:21:03,-94.366379,38.662598,2022-09-23 12:00:03
working,FL,Hialeah,1021 E 10th Ave,2022-09-23 10:19:03,-80.261126,25.831946,2022-09-23 12:00:03
broken,FL,Miami,3501 Biscayne Blvd,2022-09-23 10:20:03,-80.189163,25.809965,2022-09-23 12:00:03
working,MO,Lee'S Summit,3275 Sw 3rd Street,2022-09-23 10:19:03,-94.447874,38.912672,2022-09-23 12:00:03
working,FL,Miami Beach,1650 Washington Ave,2022-09-23 10:21:03,-80.132081,25.790433,2022-09-23 12:00:03
working,MO,Aurora,1529 Elliott,2022-09-23 10:19:03,-93.71891,36.956801,2022-09-23 12:00:03
working,MO,Raytown,8909 E 350 Hwy,2022-09-23 10:20:03,-94.478914,38.997127,2022-09-23 12:00:03
working,FL,Bonita Springs,28215 Tamiami Trl,2022-09-23 10:19:03,-81.804982,26.327504,2022-09-23 12:00:03
inactive,FL,Miami Beach,1601 Alton Rd,2022-08-29 06:48:03,-80.140924,25.789141,2022-09-23 12:00:03
working,MO,Smithville,1515 S 169 Hwy,2022-09-23 10:19:03,-94.583306,39.361963,2022-09-23 12:00:03
working,MO,Kansas City,4400 Ne Chouteau Trafficway,2022-09-23 10:20:03,-94.535856,39.172803,2022-09-23 12:00:03
broken,FL,Hialeah,460 Hialeah Drive,2022-09-23 10:19:03,-80.271915,25.822662,2022-09-23 12:00:03
working,MO,Gladstone,6305 N Antioch Rd,2022-09-23 10:20:03,-94.548064,39.207438,2022-09-23 12:00:03
broken,MO,Kansas City,5347 Independence Avenue,2022-09-23 10:19:03,-94.519726,39.104929,2022-09-23 12:00:03
working,FL,Miami,2200 Nw 36th St,2022-09-23 10:20:03,-80.232268,25.809094,2022-09-23 12:00:03
